file.name,database,uri,sub.database,pathway.id,pathway.name,macromolecule.ID.type,simple.chemical.ID.type
http___identifiers.org_panther.pathway_P02762.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02762,panther.pathway,P02762,Pentose phosphate pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02766.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02766,panther.pathway,P02766,Phenylethylamine degradation,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02769.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02769,panther.pathway,P02769,Purine metabolism,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02770.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02770,panther.pathway,P02770,Pyridoxal phosphate salvage pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02771.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02771,panther.pathway,P02771,Pyrimidine Metabolism,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02772.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02772,panther.pathway,P02772,Pyruvate metabolism,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02773.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02773,panther.pathway,P02773,S-adenosylmethionine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02774.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02774,panther.pathway,P02774,Salvage pyrimidine deoxyribonucleotides,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02775.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02775,panther.pathway,P02775,Salvage pyrimidine ribonucleotides,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02776.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02776,panther.pathway,P02776,Serine glycine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02777.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02777,panther.pathway,P02777,Succinate to proprionate conversion,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02780.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02780,panther.pathway,P02780,Thiamine metabolism,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02781.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02781,panther.pathway,P02781,Threonine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02782.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02782,panther.pathway,P02782,Triacylglycerol metabolism,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02785.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02785,panther.pathway,P02785,Valine biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P02787.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P02787,panther.pathway,P02787,Vitamin B6 metabolism,pathwayCommons,pathwayCommons
